idProposicao,ano,codTema,siglaTipo
2211306,2019,53,CON
2190440,2019,55,INC
2193939,2019,46,PFC
2190407,2019,35,PL
2190499,2019,34,PLP
2190507,2019,53,PRC
2190507,2019,55,PRC
2210094,2019,53,PRN
2190415,2019,53,RCP
2196160,2019,53,REP
2193880,2019,70,REQ
2193882,2019,52,REQ
2193882,2019,56,REQ
2193905,2019,35,REQ
2193935,2019,60,REQ
2194037,2019,57,REQ
2194043,2019,67,REQ
2194059,2019,34,REQ
2194272,2019,66,REQ
2190463,2019,54,RIC
2191663,2019,34,SIT
2193860,2019,41,REQ
2194071,2019,34,REQ
2194071,2019,41,REQ
2194071,2019,70,REQ
2218460,2019,34,CON
2218460,2019,53,CON
2190469,2019,56,INC
2194767,2019,34,PFC
2194767,2019,70,PFC
2194767,2019,61,PFC
2190408,2019,35,PL
2190501,2019,34,PLP
2190501,2019,40,PLP
2190702,2019,53,PRC
2190702,2019,55,PRC
2210095,2019,53,PRN
2190643,2019,53,RCP
2208168,2019,53,REP
2218458,2019,56,REQ
2190506,2019,54,RIC
2190506,2019,48,RIC
2195240,2019,46,SIT
2196891,2019,34,PLV
2196891,2019,54,PLV
2190429,2019,34,PDL
2190429,2019,53,PDL
2190687,2019,62,INC
2194782,2019,54,PFC
2194782,2019,70,PFC
2190409,2019,43,PL
2190534,2019,34,PLP
2190534,2019,40,PLP
2190866,2019,53,PRC
2208169,2019,53,REP
2191007,2019,57,RIC
2207013,2019,40,SIT
2207013,2019,70,SIT
2197436,2019,44,PLV
2197436,2019,70,PLV
2197436,2019,56,PLV
2190880,2019,34,PDL
2190683,2019,44,INC
2194940,2019,46,PFC
2190410,2019,34,PL
2190536,2019,57,PLP
2192475,2019,62,RCP
2192475,2019,37,RCP
2208599,2019,53,REP
2191029,2019,54,RIC
2208082,2019,34,SIT
2198799,2019,34,PLV
2198799,2019,61,PLV
2190974,2019,34,PRC
2190974,2019,53,PRC
2190881,2019,57,PDL
2190680,2019,61,INC
2195348,2019,34,PFC
2195348,2019,70,PFC
2190411,2019,43,PL
2190411,2019,44,PL
2190553,2019,40,PLP
2220203,2019,76,RCP
2220203,2019,53,RCP
2209921,2019,53,REP
2191032,2019,70,RIC
2208114,2019,54,SIT
2198787,2019,34,PLV
2198787,2019,66,PLV
2190981,2019,53,PRC
2190882,2019,34,PDL
2190677,2019,61,INC
2192459,2019,34,PEC
2192459,2019,52,PEC
2192459,2019,58,PEC
2195993,2019,34,PFC
2195993,2019,61,PFC
2190412,2019,61,PL
2190556,2019,74,PLP
2222064,2019,67,RCP
2222064,2019,61,RCP
2210057,2019,53,REP
2191062,2019,44,RIC
2208924,2019,34,SIT
2200236,2019,67,PLV
2200236,2019,61,PLV
2191033,2019,54,PRC
2191033,2019,48,PRC
2191033,2019,53,PRC
2190883,2019,34,PDL
2190883,2019,53,PDL
2190672,2019,61,INC
2196338,2019,67,PFC
