,uri,nome,idLegislaturaInicial,idLegislaturaFinal,nomeCivil,siglaSexo,urlRedeSocial,urlWebsite,dataNascimento,dataFalecimento,ufNascimento,municipioNascimento
2783,https://dadosabertos.camara.leg.br/api/v2/deputados/4931,IZALCI LUCAS,53,55,IZALCI LUCAS FERREIRA,M,[],[],1956-04-07,,MG,Araújos
2784,https://dadosabertos.camara.leg.br/api/v2/deputados/62881,Danilo Forte,54,56,FRANCISCO DANILO BASTOS FORTE,M,[],[],1958-09-01,,CE,Fortaleza
2785,https://dadosabertos.camara.leg.br/api/v2/deputados/62926,PASTOR REINALDO,52,52,REINALDO SANTOS E SILVA,M,[],[],1949-02-14,,RJ,Miracema
2786,https://dadosabertos.camara.leg.br/api/v2/deputados/64224,ROBÉRIO NUNES,52,52,ROBÉRIO CÁSSIO RIBEIRO NUNES,M,[],[],1964-11-03,,BA,Macaúbas
2787,https://dadosabertos.camara.leg.br/api/v2/deputados/64960,MARIA HELENA,52,55,MARIA HELENA VERONESE RODRIGUES,F,[],[],1949-06-15,,RS,Santo Ângelo
2788,https://dadosabertos.camara.leg.br/api/v2/deputados/65459,MANUEL VIANA,47,49,Manuel Francisco Viana Neto,M,[],[],1952-06-03,,CE,Fortaleza
2789,https://dadosabertos.camara.leg.br/api/v2/deputados/65468,ERVIN BONKOSKI,48,49,Ervin Bonkoski,M,[],[],1936-09-26,,SC,Perdizes
2791,https://dadosabertos.camara.leg.br/api/v2/deputados/65475,FLÁVIO ROCHA,48,49,Flávio Gurgel Rocha,M,[],[],1958-02-14,,PE,Recife
2792,https://dadosabertos.camara.leg.br/api/v2/deputados/65480,GERALDO ALCKMIN FILHO,48,49,Geraldo José Rodrigues Alckmin Filho,M,[],[],1952-11-07,,SP,Pindamonhangaba
2793,https://dadosabertos.camara.leg.br/api/v2/deputados/65495,JOSÉ SERRA,48,49,José Serra,M,[],[],1942-03-19,,SP,São Paulo
2794,https://dadosabertos.camara.leg.br/api/v2/deputados/65498,LÚCIA VÂNIA,48,51,LÚCIA VÂNIA ABRÃO COSTA,F,[],[],1944-10-15,,GO,Cumari
2795,https://dadosabertos.camara.leg.br/api/v2/deputados/65505,PRATINI DE MORAES,47,49,Marcus Vinicius Pratini de Moraes,M,[],[],1939-04-23,,RS,Porto Alegre
2797,https://dadosabertos.camara.leg.br/api/v2/deputados/65519,NELTON FRIEDRICH,47,48,NELTON MIGUEL FRIEDRICH,M,[],[],1947-09-29,,,
2798,https://dadosabertos.camara.leg.br/api/v2/deputados/65551,WAGNER LAGO,47,52,RICARDO WAGNER DE CARVALHO LAGO,M,[],[],1944-02-15,,MA,Pedreiras
2801,https://dadosabertos.camara.leg.br/api/v2/deputados/65988,ANTÔNIO BRITTO,48,49,Antônio Britto Filho,M,[],[],1952-07-01,,RS,Santana do Livramento
2802,https://dadosabertos.camara.leg.br/api/v2/deputados/66179,Norma Ayub,55,56,NORMA AYUB ALVES,F,[],[],1959-09-07,,ES,Vitória
2803,https://dadosabertos.camara.leg.br/api/v2/deputados/66476,ASSIS CANUTO,47,50,ASSIS CANUTO,M,[],[],1941-04-21,,GO,Itumbiara
2804,https://dadosabertos.camara.leg.br/api/v2/deputados/66490,ANTONIO FALEIROS,49,50,Antonio Faleiros Filho,M,[],[],1948-01-12,,MG,Estrela do Sul
2805,https://dadosabertos.camara.leg.br/api/v2/deputados/66828,Fausto Pinato,55,56,FAUSTO RUY PINATO,M,[],[],1977-06-01,,SP,Fernandópolis
