UF,id,nomeEleitoral,siglaPartido
BA,74554,José Rocha,PL
MA,204563,Josimar Maranhãozinho,PL
MA,204574,Junior Lourenço,PL
CE,204550,Júnior Mano,PL
DF,141478,Laerte Bessa,PL
ES,160534,Lauriete,PL
MG,74585,Lincoln Portela,PL
RJ,204448,Luiz Antônio Corrêa,PL
SP,204485,Luiz Carlos Motta,PL
PR,162332,Luiz Nishimori,PL
GO,166402,Magda Mofatto,PL
AM,204556,Marcelo Ramos,PL
SP,178983,Marcio Alvino,PL
PI,204432,Marina Santos,PL
SP,178985,Miguel Lombardi,PL
MA,204570,Pastor Gil,PL
SP,160558,Paulo Freire Costa,PL
SP,204529,Policial Katia Sastre,PL
SP,160601,Pr. Marco Feliciano,PL
BA,204567,Raimundo Costa,PL
PE,178921,Sebastião Oliveira,PL
AL,204438,Sergio Toledo,PL
RJ,178946,Soraya Santos,PL
SP,160976,Tiririca,PL
SE,204385,Valdevan Noventa,PL
TO,137070,Vicentinho Júnior,PL
AP,160591,Vinicius Gurgel,PL
PB,74043,Wellington Roberto,PL
MG,204517,Zé Vitor,PL
MA,204570,Pastor Gil,PMN
MG,204517,Zé Vitor,PMN
MA,178881,Aluisio Mendes,PODE
BA,69871,Bacelar,PODE
PR,178929,Diego Garcia,PODE
MG,204508,Igor Timo,PODE
MT,204472,José Medeiros,PODE
GO,204391,José Nelto,PODE
MA,215043,Josivaldo JP,PODE
RO,204359,Léo Moraes,PODE
SP,160601,Pr. Marco Feliciano,PODE
SP,178989,Renata Abreu,PODE
PE,178920,Ricardo Teobaldo,PODE
SP,160653,Roberto de Lucena,PODE
GO,121948,Adriano do Baldy,PP
RS,136811,Afonso Hamm,PP
PB,160527,Aguinaldo Ribeiro,PP
CE,204549,AJ Albuquerque,PP
AP,178831,André Abdon,PP
MA,178882,André Fufuca,PP
SC,73696,Angela Amin,PP
AL,160541,Arthur Lira,PP
AM,74090,Átila Lins,PP
PI,74459,Átila Lira,PP
RN,178948,Beto Rosado,PP
BA,93083,Cacá Leão,PP
DF,204380,Celina Leão,PP
RJ,204440,Christino Aureo,PP
BA,74537,Claudio Cajado,PP
RS,178963,Covatti Filho,PP
MG,160599,Dimas Fabiano,PP
RJ,204450,Dr. Luiz Antonio Teixeira Jr.,PP
PE,141421,Eduardo da Fonte,PP
ES,178871,Evair Vieira de Melo,PP
SP,66828,Fausto Pinato,PP
PE,92699,Fernando Monteiro,PP
MG,204510,Franco Cartafina,PP
SP,204531,Guilherme Derrite,PP
SP,160667,Guilherme Mussi,PP
RR,178959,Hiran Gonçalves,PP
PI,67138,Iracema Portella,PP
RO,108338,Jaqueline Cassol,PP
RS,160570,Jerônimo Goergen,PP
RJ,74253,Julio Lopes,PP
SE,151208,Laercio Oliveira,PP
MG,146788,Marcelo Aro,PP
PI,204430,Margarete Coelho,PP
BA,178858,Mário Negromonte Jr.,PP
MT,146307,Neri Geller,PP
PR,73463,Osmar Serraglio,PP
RS,204406,Pedro Westphalen,PP
MG,204524,Pinheirinho,PP
GO,204390,Professor Alcides,PP
PR,73788,Ricardo Barros,PP
SP,160655,Ricardo Izar,PP
BA,178861,Ronaldo Carletto,PP
BA,178863,Uldurico Junior,PPL
SP,178972,Alex Manente,PPS
SP,141391,Arnaldo Jardim,PPS
SC,164360,Carmen Zanotto,PPS
ES,204355,Da Vitoria,PPS
PE,178916,Daniel Coelho,PPS
DF,204377,Paula Belmonte,PPS
PR,73466,Rubens Bueno,PPS
BA,204554,Abílio Santana,PR
MG,141372,Aelton Freitas,PR
RJ,178937,Altineu Côrtes,PR
SE,74052,Bosco Costa,PR
SP,178829,Capitão Augusto,PR
